net,length_um
net1,64.3
net5,59.58
net2,57.08
_00_,54.22
net3,49.54
net10,44.18
_03_,37.6
net4,34.555
_07_,33.02
net16,32.98
net6,31.1
_04_,30.68
net9,26.64
net14,26.3
net15,26.1
in[7],22.91
_06_,22.3
_01_,21.46
net7,18.74
net8,17.6
net11,16.7
_08_,16.02
out[0],11.89
net12,11.56
in[0],10.73
out[7],10.61
_02_,8.44
net13,8.14
in[6],7.67
out[6],6.69
in[1],6.65
in[5],6.31
in[3],5.97
out[3],5.29
out[5],5.29
in[4],4.95
in[2],4.61
out[1],3.93
out[2],3.93
out[4],3.93
_05_,1.72
